order_id,product_id,quantity,unit_price,order_date
OD3069,pr02, 3 ,150000,24/03/2024
OD3070,PR01 ,2,150000,2024-04-09
OD3071, PR04,3,1.250.000đ,16/03/2024
OD3072,pr02,2x,150000,2024-01-09
OD3073,PR01 ,2x,350000,2024-03-12
OD3074, PR05,3,350000,2024-02-05
OD3075,pr02,2x,250000,21/02/2024
OD3076, PR05,1,350000,05/03/2024
OD3077,PR01 ,2x,150000,2024-02-13
OD3078,PR01 ,2x,350000,2024-04-14
OD3079, PR05,3,1.250.000đ,18/02/2024
OD3080, PR05,-1,250000,2024-04-09
OD3081, PR04, 3 ,200k,2024-04-20
OD3082,PR01 ,-1,150000,18/02/2024
OD3083,pr02, 3 ,1.250.000đ,10/02/2024
OD3084, PR04,3, 300000 ,2024-03-30
OD3085,PR03 ,2,350000,27/03/2024
OD3086,PR03 ,1, 300000 ,2024-03-01
OD3087,PR03 ,3,250000,2024-02-04
OD3088,pr02, 3 ,1.250.000đ,2024-01-25
OD3089, PR04, 3 ,250000,31/01/2024
OD3090,PR03 ,2,250000,01/02/2024
OD3091, PR05,3,250000,2024-01-16
OD3092,PR01 , 3 ,1.250.000đ,01/01/2024
OD3093, PR05,1,200k,10/02/2024
OD3094, PR04,2x,350000,07/04/2024
OD3095, PR05,3,200k,14/03/2024
OD3096,pr02,1, 300000 ,2024-03-02
OD3097, PR05,1, 300000 ,20/04/2024
OD3098,pr02,-1,150000,2024-02-28
OD3099,PR03 , 3 ,150000,27/01/2024
OD3100, PR04,2x,150000,19/03/2024
OD3101,PR03 ,2, 300000 ,04/02/2024
OD3102, PR04,2x,350000,04/03/2024
OD3103, PR04,2,200k,2024-02-17
OD3104,PR03 ,-1,350000,14/03/2024
OD3105,pr02,2x,1.250.000đ,13/01/2024
OD3106,PR03 ,2, 300000 ,18/02/2024
OD3107,pr02,2,1.250.000đ,13/04/2024
OD3108,PR01 ,2,200k,24/04/2024
OD3109, PR05,2x,1.250.000đ,03/03/2024
OD3110,PR03 ,3, 300000 ,2024-01-07
OD3111, PR04,1,1.250.000đ,28/01/2024
OD3112,PR03 ,-1,1.250.000đ,05/04/2024
OD3113,PR03 ,3,350000,12/03/2024
OD3114,PR03 ,3,150000,14/02/2024
OD3115, PR05,2, 300000 ,2024-03-24
OD3116, PR05,2,350000,27/03/2024
OD3117, PR05,-1,1.250.000đ,11/01/2024
OD3118, PR04,2x,350000,19/01/2024
OD3119,pr02, 3 ,350000,19/03/2024
